case,seed,dispatch,task_id,cumulative_share
case3,1,100,1,0.230000
case3,1,100,2,0.230000
case3,1,100,3,0.210000
case3,1,100,4,0.170000
case3,1,100,5,0.160000
case3,1,200,1,0.240000
case3,1,200,2,0.225000
case3,1,200,3,0.195000
case3,1,200,4,0.185000
case3,1,200,5,0.155000
case3,1,300,1,0.243333
case3,1,300,2,0.200000
case3,1,300,3,0.206667
case3,1,300,4,0.186667
case3,1,300,5,0.163333
case3,1,400,1,0.230000
case3,1,400,2,0.207500
case3,1,400,3,0.220000
case3,1,400,4,0.170000
case3,1,400,5,0.172500
case3,1,500,1,0.218000
case3,1,500,2,0.214000
case3,1,500,3,0.216000
case3,1,500,4,0.164000
case3,1,500,5,0.188000
case3,1,600,1,0.213333
case3,1,600,2,0.210000
case3,1,600,3,0.206667
case3,1,600,4,0.181667
case3,1,600,5,0.188333
case3,1,700,1,0.207143
case3,1,700,2,0.205714
case3,1,700,3,0.205714
case3,1,700,4,0.192857
case3,1,700,5,0.188571
case3,1,800,1,0.201250
case3,1,800,2,0.206250
case3,1,800,3,0.207500
case3,1,800,4,0.200000
case3,1,800,5,0.185000
case3,1,900,1,0.208889
case3,1,900,2,0.201111
case3,1,900,3,0.205556
case3,1,900,4,0.195556
case3,1,900,5,0.188889
case3,1,1000,1,0.209000
case3,1,1000,2,0.203000
case3,1,1000,3,0.207000
case3,1,1000,4,0.189000
case3,1,1000,5,0.192000
case3,1,1100,1,0.205455
case3,1,1100,2,0.206364
case3,1,1100,3,0.205455
case3,1,1100,4,0.193636
case3,1,1100,5,0.189091
case3,1,1200,1,0.201667
case3,1,1200,2,0.201667
case3,1,1200,3,0.207500
case3,1,1200,4,0.196667
case3,1,1200,5,0.192500
case3,1,1300,1,0.203077
case3,1,1300,2,0.200769
case3,1,1300,3,0.206154
case3,1,1300,4,0.192308
case3,1,1300,5,0.197692
case3,1,1400,1,0.201429
case3,1,1400,2,0.199286
case3,1,1400,3,0.202857
case3,1,1400,4,0.192143
case3,1,1400,5,0.204286
case3,1,1500,1,0.201333
case3,1,1500,2,0.193333
case3,1,1500,3,0.208000
case3,1,1500,4,0.192667
case3,1,1500,5,0.204667
case3,1,1600,1,0.200000
case3,1,1600,2,0.193125
case3,1,1600,3,0.204375
case3,1,1600,4,0.195000
case3,1,1600,5,0.207500
case3,1,1700,1,0.204118
case3,1,1700,2,0.193529
case3,1,1700,3,0.202353
case3,1,1700,4,0.192941
case3,1,1700,5,0.207059
case3,1,1800,1,0.202778
case3,1,1800,2,0.193333
case3,1,1800,3,0.198889
case3,1,1800,4,0.196667
case3,1,1800,5,0.208333
case3,1,1900,1,0.202632
case3,1,1900,2,0.191053
case3,1,1900,3,0.197895
case3,1,1900,4,0.198947
case3,1,1900,5,0.209474
case3,1,2000,1,0.201500
case3,1,2000,2,0.192500
case3,1,2000,3,0.196500
case3,1,2000,4,0.197500
case3,1,2000,5,0.212000
case3,1,2100,1,0.199524
case3,1,2100,2,0.194762
case3,1,2100,3,0.200952
case3,1,2100,4,0.195714
case3,1,2100,5,0.209048
case3,1,2200,1,0.197273
case3,1,2200,2,0.196818
case3,1,2200,3,0.201364
case3,1,2200,4,0.196818
case3,1,2200,5,0.207727
case3,1,2300,1,0.198696
case3,1,2300,2,0.193478
case3,1,2300,3,0.200000
case3,1,2300,4,0.197826
case3,1,2300,5,0.210000
case3,1,2400,1,0.197083
case3,1,2400,2,0.193333
case3,1,2400,3,0.198750
case3,1,2400,4,0.200417
case3,1,2400,5,0.210417
case3,1,2500,1,0.196000
case3,1,2500,2,0.193200
case3,1,2500,3,0.198400
case3,1,2500,4,0.199600
case3,1,2500,5,0.212800
case3,1,2600,1,0.196538
case3,1,2600,2,0.193846
case3,1,2600,3,0.197692
case3,1,2600,4,0.202692
case3,1,2600,5,0.209231
case3,1,2700,1,0.195185
case3,1,2700,2,0.193333
case3,1,2700,3,0.197037
case3,1,2700,4,0.205185
case3,1,2700,5,0.209259
case3,1,2800,1,0.194643
