case,seed,task_id,tickets,work_units_completed,dispatches,observed_share
case3,1,1,100,1968000,1968,0.196800
case3,1,2,100,1994000,1994,0.199400
case3,1,3,100,2031000,2031,0.203100
case3,1,4,100,2023000,2023,0.202300
case3,1,5,100,1984000,1984,0.198400
case3,2,1,100,1978000,1978,0.197800
case3,2,2,100,2061000,2061,0.206100
case3,2,3,100,1972000,1972,0.197200
case3,2,4,100,1968000,1968,0.196800
case3,2,5,100,2021000,2021,0.202100
case3,3,1,100,1998000,1998,0.199800
case3,3,2,100,1989000,1989,0.198900
case3,3,3,100,2040000,2040,0.204000
case3,3,4,100,2020000,2020,0.202000
case3,3,5,100,1953000,1953,0.195300
case3,4,1,100,1970000,1970,0.197000
case3,4,2,100,2001000,2001,0.200100
case3,4,3,100,2010000,2010,0.201000
case3,4,4,100,2069000,2069,0.206900
case3,4,5,100,1950000,1950,0.195000
case3,5,1,100,1980000,1980,0.198000
case3,5,2,100,2048000,2048,0.204800
case3,5,3,100,2008000,2008,0.200800
case3,5,4,100,1982000,1982,0.198200
case3,5,5,100,1982000,1982,0.198200
case3,6,1,100,2025000,2025,0.202500
case3,6,2,100,1934000,1934,0.193400
case3,6,3,100,2013000,2013,0.201300
case3,6,4,100,2012000,2012,0.201200
case3,6,5,100,2016000,2016,0.201600
case3,7,1,100,2021000,2021,0.202100
case3,7,2,100,1968000,1968,0.196800
case3,7,3,100,2028000,2028,0.202800
case3,7,4,100,1975000,1975,0.197500
case3,7,5,100,2008000,2008,0.200800
case3,8,1,100,1928000,1928,0.192800
case3,8,2,100,2066000,2066,0.206600
case3,8,3,100,1951000,1951,0.195100
case3,8,4,100,2021000,2021,0.202100
case3,8,5,100,2034000,2034,0.203400
case3,9,1,100,1988000,1988,0.198800
case3,9,2,100,2068000,2068,0.206800
case3,9,3,100,1987000,1987,0.198700
case3,9,4,100,1949000,1949,0.194900
case3,9,5,100,2008000,2008,0.200800
case3,10,1,100,1951000,1951,0.195100
case3,10,2,100,1989000,1989,0.198900
case3,10,3,100,2034000,2034,0.203400
case3,10,4,100,2003000,2003,0.200300
case3,10,5,100,2023000,2023,0.202300
case3,11,1,100,2007000,2007,0.200700
case3,11,2,100,2002000,2002,0.200200
case3,11,3,100,1998000,1998,0.199800
case3,11,4,100,1977000,1977,0.197700
case3,11,5,100,2016000,2016,0.201600
case3,12,1,100,2010000,2010,0.201000
case3,12,2,100,2063000,2063,0.206300
case3,12,3,100,1911000,1911,0.191100
case3,12,4,100,2042000,2042,0.204200
case3,12,5,100,1974000,1974,0.197400
case3,13,1,100,1972000,1972,0.197200
case3,13,2,100,1970000,1970,0.197000
case3,13,3,100,2043000,2043,0.204300
case3,13,4,100,2053000,2053,0.205300
case3,13,5,100,1962000,1962,0.196200
case3,14,1,100,2057000,2057,0.205700
case3,14,2,100,1964000,1964,0.196400
case3,14,3,100,1991000,1991,0.199100
case3,14,4,100,2012000,2012,0.201200
case3,14,5,100,1976000,1976,0.197600
case3,15,1,100,1972000,1972,0.197200
case3,15,2,100,2078000,2078,0.207800
case3,15,3,100,1998000,1998,0.199800
case3,15,4,100,1978000,1978,0.197800
case3,15,5,100,1974000,1974,0.197400
case3,16,1,100,2035000,2035,0.203500
case3,16,2,100,1953000,1953,0.195300
case3,16,3,100,1940000,1940,0.194000
case3,16,4,100,2038000,2038,0.203800
case3,16,5,100,2034000,2034,0.203400
case3,17,1,100,1924000,1924,0.192400
case3,17,2,100,2022000,2022,0.202200
case3,17,3,100,1992000,1992,0.199200
case3,17,4,100,2016000,2016,0.201600
case3,17,5,100,2046000,2046,0.204600
case3,18,1,100,2022000,2022,0.202200
case3,18,2,100,1988000,1988,0.198800
case3,18,3,100,1967000,1967,0.196700
case3,18,4,100,2055000,2055,0.205500
case3,18,5,100,1968000,1968,0.196800
case3,19,1,100,2045000,2045,0.204500
case3,19,2,100,1959000,1959,0.195900
case3,19,3,100,1974000,1974,0.197400
case3,19,4,100,2007000,2007,0.200700
case3,19,5,100,2015000,2015,0.201500
case3,20,1,100,1983000,1983,0.198300
case3,20,2,100,2027000,2027,0.202700
